歌单标题,作者,播放数,链接url,作者主页url
时间是最好的解药，治愈最坏的伤口,鹿仁,6894000,https://y.qq.com/n/yqq/playsquare/4243359567.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKSP7iEz7i6lov**#stat=y_new.playlist.creater
薄荷海风味的温柔女声,念安娜,2565000,https://y.qq.com/n/yqq/playsquare/4384071983.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=NKvkoKclNe-l#stat=y_new.playlist.creater
Pitchfork评选：90年代100张最佳专辑,Jane&Danny,722000,https://y.qq.com/n/yqq/playsquare/4393383899.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owc57iCq7eEqon**#stat=y_new.playlist.creater
网络歌曲中的男男合作,Pure_Lavender,5124000,https://y.qq.com/n/yqq/playsquare/4229026117.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=ow-57K6z7KcPon**#stat=y_new.playlist.creater
钢琴遇见小提琴，弹奏绝美旋音,二哈喇雪迪苗,2102000,https://y.qq.com/n/yqq/playsquare/3839988249.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oioloecP7wvkon**#stat=y_new.playlist.creater
阅读音乐 · 安静钢琴轻音,谜一般的年轻人,2705000,https://y.qq.com/n/yqq/playsquare/5108728972.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owvi7iE5oe-son**#stat=y_new.playlist.creater
独自风骚 | 搞一场脑内Party,腾讯音乐人,604000,https://y.qq.com/n/yqq/playsquare/5412798671.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oiv5oicioiS5Nn**#stat=y_new.playlist.creater
惬意细软小调，少女感性100％,Smile,1297000,https://y.qq.com/n/yqq/playsquare/4938452612.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKvsNeoFNeSson**#stat=y_new.playlist.creater
Dream Pop · 缥缈朦胧的梦境,花痞,1287000,https://y.qq.com/n/yqq/playsquare/4219685713.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK-P7K-Foeoion**#stat=y_new.playlist.creater
历史老师推荐盛世民俗必听古风,五品带砖侍卫,714000,https://y.qq.com/n/yqq/playsquare/3845994302.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKcF7w457iCk#stat=y_new.playlist.creater
欧 美 爵 士 风 说 唱,到底是谁，在背后说我帅,511000,https://y.qq.com/n/yqq/playsquare/4172830925.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-k7iCloicz7v**#stat=y_new.playlist.creater
失恋期循环播放的伤感Alternative,Music Fans,610000,https://y.qq.com/n/yqq/playsquare/4062628342.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKCzoe6FNKvloc**#stat=y_new.playlist.creater
SM历代男团作品收录,歌单狂魔,1348000,https://y.qq.com/n/yqq/playsquare/6554964954.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-iNKC5NKnl7v**#stat=y_new.playlist.creater
SM历代女团作品收录,歌单狂魔,2142000,https://y.qq.com/n/yqq/playsquare/6554965112.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-iNKC5NKnl7v**#stat=y_new.playlist.creater
SM Solo歌手作品收录,歌单狂魔,635000,https://y.qq.com/n/yqq/playsquare/6554965212.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-iNKC5NKnl7v**#stat=y_new.playlist.creater
浅唱低吟的英伦民谣,K先生的猫,1071000,https://y.qq.com/n/yqq/playsquare/4262086260.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7ecAow6q7K6q#stat=y_new.playlist.creater
开车新手 · 稳妥前行轻音乐,爱唱歌的小小风,726000,https://y.qq.com/n/yqq/playsquare/4228477624.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=ownF7Kc5NK-lon**#stat=y_new.playlist.creater
What The Funk！就跟着节奏扭动,就是一个听歌der,571000,https://y.qq.com/n/yqq/playsquare/6508979807.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owvz7i6PowSA7z**#stat=y_new.playlist.creater
QQ音乐巅峰榜2018年终榜单,QQ音乐巅峰榜,2103000,https://y.qq.com/n/yqq/playsquare/6555915695.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKCF7KvsowS5oc**#stat=y_new.playlist.creater
归家旅途必备之国语流行,热云赫赫拉,1229000,https://y.qq.com/n/yqq/playsquare/6543771358.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owS57ink7w6qon**#stat=y_new.playlist.creater
怀念你，是我最终爱你的方式,蘑菇,1348000,https://y.qq.com/n/yqq/playsquare/5372758242.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKnlNKnq7w6P7z**#stat=y_new.playlist.creater
躺在草地上想起关于口琴的记忆,谜一般的年轻人,1347000,https://y.qq.com/n/yqq/playsquare/4225597692.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owvi7iE5oe-son**#stat=y_new.playlist.creater
听说，女生没爱上任何人的时候最酷,蘑菇,819000,https://y.qq.com/n/yqq/playsquare/5373442966.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKnlNKnq7w6P7z**#stat=y_new.playlist.creater
韩国R&B女声：住进我的歌声里吧,天天困成狗,1356000,https://y.qq.com/n/yqq/playsquare/2679889600.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owosNeck7i6A7c**#stat=y_new.playlist.creater
「轻快小调」散步兜风恰好时,念安娜,1080000,https://y.qq.com/n/yqq/playsquare/6447012981.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=NKvkoKclNe-l#stat=y_new.playlist.creater
坐班音药：一键清空上班烦恼,Music Fans,977000,https://y.qq.com/n/yqq/playsquare/4277415631.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKCzoe6FNKvloc**#stat=y_new.playlist.creater
民谣故事：有些人，错过就错过吧,DJ顾念晨,1433000,https://y.qq.com/n/yqq/playsquare/6474330785.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7eSF7wEkoiSq#stat=y_new.playlist.creater
月上柳梢头 | 散步听闲情古风,Lin衾浅,1244000,https://y.qq.com/n/yqq/playsquare/4242003865.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owEzNKEP7w-Fov**#stat=y_new.playlist.creater
后摇与鱼｜群聊窥屏潜水必备,冷门单曲酱,547000,https://y.qq.com/n/yqq/playsquare/1190459513.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKEs7iSANeo5ov**#stat=y_new.playlist.creater
岁月留声：80年代经典粤语,MouYong LynLyn,4234000,https://y.qq.com/n/yqq/playsquare/4385554939.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oi-PNeCPoKEson**#stat=y_new.playlist.creater
甜蜜暴击：为你写下带糖的Flow,腾讯音乐人,751000,https://y.qq.com/n/yqq/playsquare/6343973054.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oiv5oicioiS5Nn**#stat=y_new.playlist.creater
适合放松听的鸟鸣新世纪,Extraordinary,1180000,https://y.qq.com/n/yqq/playsquare/4193605440.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKElNeSF7icPNn**#stat=y_new.playlist.creater
Alternative R&B · 魔性迷嗓,花痞,561000,https://y.qq.com/n/yqq/playsquare/4246083729.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK-P7K-Foeoion**#stat=y_new.playlist.creater
电影中那些惊艳四座的翻唱,K先生的猫,573000,https://y.qq.com/n/yqq/playsquare/4455109316.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7ecAow6q7K6q#stat=y_new.playlist.creater
别具一格! 听流行歌手演绎民谣,G~ÐЯÃɡǒИ,735000,https://y.qq.com/n/yqq/playsquare/4151645164.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oinA7wcA7iCz7v**#stat=y_new.playlist.creater
Indie Pop：思绪自溺在落日余晖中,Jane&Danny,847000,https://y.qq.com/n/yqq/playsquare/6292073257.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owc57iCq7eEqon**#stat=y_new.playlist.creater
如果结局不好，我宁选孤独终老,Molly Wu_正是在下,5782000,https://y.qq.com/n/yqq/playsquare/4224133912.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oioloKSqoiEAon**#stat=y_new.playlist.creater
孤独华语 | 城市失眠者的落寞伤曲,Music Fans,1046000,https://y.qq.com/n/yqq/playsquare/5296447782.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKCzoe6FNKvloc**#stat=y_new.playlist.creater
节奏说唱 | CHILL时的自嗨指南,腾讯音乐人,859000,https://y.qq.com/n/yqq/playsquare/5374745262.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oiv5oicioiS5Nn**#stat=y_new.playlist.creater
前奏就能满血复活的Kawaii Bass,花痞,699000,https://y.qq.com/n/yqq/playsquare/4220988261.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK-P7K-Foeoion**#stat=y_new.playlist.creater
轻缓华语｜工作狂录备案消乏剂,Music Fans,644000,https://y.qq.com/n/yqq/playsquare/5088458670.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKCzoe6FNKvloc**#stat=y_new.playlist.creater
休息放松时间 : 肯塔基州肆意的蓝草乐,哲哲,539000,https://y.qq.com/n/yqq/playsquare/2662314321.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=ow-loioFoK4A7c**#stat=y_new.playlist.creater
互联网公司年会背景音乐,涩涩的大棕熊,1299000,https://y.qq.com/n/yqq/playsquare/6208156497.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=own57ivANKck7v**#stat=y_new.playlist.creater
90首唯美剧情推荐：歌尽桃花扇底风,五品带砖侍卫,1164000,https://y.qq.com/n/yqq/playsquare/3804081731.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKcF7w457iCk#stat=y_new.playlist.creater
柔情男嗓：刷完朋友圈就睡啦！,念安娜,1086000,https://y.qq.com/n/yqq/playsquare/5636007751.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=NKvkoKclNe-l#stat=y_new.playlist.creater
哎哟，我的饶舌还不错吧？,心情如歌单,2343000,https://y.qq.com/n/yqq/playsquare/6430043340.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=owcl7i4soe-s7v**#stat=y_new.playlist.creater
沧笙踏歌 | 和声点缀的古风,你的耳机是我的,947000,https://y.qq.com/n/yqq/playsquare/4215579198.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oinkowoi7woA7c**#stat=y_new.playlist.creater
给生活加点糖！甜系华语小调,DJ顾念晨,1130000,https://y.qq.com/n/yqq/playsquare/5390089472.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=7eSF7wEkoiSq#stat=y_new.playlist.creater
专属日系宅男宅女手机铃声,涩涩的大棕熊,535000,https://y.qq.com/n/yqq/playsquare/6335994793.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=own57ivANKck7v**#stat=y_new.playlist.creater
别具一格的华语女声说唱,Daisy,681000,https://y.qq.com/n/yqq/playsquare/4388414063.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oK-loinsoe-k7n**#stat=y_new.playlist.creater
蹦迪指南：让你Hold住舞池！,腾讯音乐人,556000,https://y.qq.com/n/yqq/playsquare/6188246417.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oiv5oicioiS5Nn**#stat=y_new.playlist.creater
暗恋终点站丨故事从未开始就已结束,念葳蕊,549000,https://y.qq.com/n/yqq/playsquare/5670859061.html#stat=y_new.playlist.pic_click,https://y.qq.com/portal/profile.html?uin=oKns7ioiNeoA7v**#stat=y_new.playlist.creater
